seller_username,title,all_in_price,CT_list,player_guess
tmgrnzx9r,2025 Topps Update Chrome MAX MEYER X-Fractor USC183 Miami Marlins,1.99,"Chrome, X-Fractor",Max Meyer
traneofthought,Max Meyer 2025 Topps Update #US99 Diamante Foil,1.99,Diamante,Max Meyer
orioles98,2025 Topps Update HALLOWEEN FOIL Max Meyer #US99 - Miami Marlins,1.99,,Max Meyer
ericscardsii,Max Meyer 2025 Topps Update Miami Marlins #US99,1.66,,Max Meyer
leggs-lists,Max Meyer 2025 Topps Update Purple Rainbow Foil 222/250 #US-99 Miami Marlins,4.19,Purple Rainbow,Max Meyer
mostarcollectibles,2025 Topps Update - Max Meyer #US99 (Gold Border Parallel /2025),3.31,Gold 2025,Max Meyer
mikeocardshop,2025 Topps Update Rainbow Foil Max Meyer Miami Marlins #US99,2.09,Base Rainbow,Max Meyer
99sportscards,2025 Topps Update #US99 Max Meyer Holiday Jack O’Lantern,3.99,Holiday Jackolantern,Max Meyer
skikrat_0,MAX MEYER 2025 Topps Update #US99 HOLIDAY MUMMY VARIATION 31/50 SEATTLE MARINERS,17.7,Holiday Mummy,Max Meyer
lodesofcards,2025 Topps Update Series - Max Meyer #US99 Purple Holofoil 86/250,19.98,Purple Rainbow,Max Meyer
ericobizzle11,2025 Topps Update Rainbow Foil Max Meyer Miami Marlins #US99,1.99,Base Rainbow,Max Meyer
isa_sells_baseball_stuff_13,Max Meyer #US99 - 2025 Topps Update Series,1.25,,Max Meyer
zoeysdown,2025 Topps Update Series Chrome - Max Meyer #USC183 Sepia Refractor,1.65,Chrome,Max Meyer
acts_of_insanity,2025 Topps Update DIAMANTE Foil Max Meyer #US99 Miami Marlins NM Free Shipping,1.69,Diamante,Max Meyer
jsawcards,2025 Topps Update Rainbow Foil Max Meyer Miami Marlins #US99,1.99,Base Rainbow,Max Meyer
boomershouse,2025 Topps Update Max Meyer #US99 Gold parallel #d/2025,3.55,Gold 2025,Max Meyer
dw_2005,2025 Topps Update - Max Meyer #US99 Value Box Holiday,2.37,,Max Meyer
clayscards86,2025 Topps Update Series - Max Meyer #US99 Diamante Foil,1.98,Diamante,Max Meyer
awwstrukcards,2025 Topps Update #US99 Max Meyer Holiday Marlins,3.0,,Max Meyer
comc_consignment,2025 Topps Update Gold Rainbow Foil /50 Max Meyer #US99 13t3,10.14,Gold 50,Max Meyer
trulyhonesttraders,Max Meyer 2025 Topps Update Holo Foil #US99 Miami Marlins,2.31,,Max Meyer
butteryblake,2025 Topps Update Series Max Meyer Golden Mirror SP,24.98,Golden Mirror,Max Meyer
55in88,2025 Topps Update Max Meyer Holiday #US 99,2.84,,Max Meyer
andsud-25,2025 Topps Update Baseball Max Meyer #US99 Purple Holo Foil /250,2.31,Purple Rainbow,Max Meyer
jts_fieldofcards,2025 Topps Update #US99 Max Meyer ✨SP-GOLD /2025✨ Miami Marlins,2.5,Gold 2025,Max Meyer
whodeyf_31,2025 TOPPS UPDATE /50 GOLD FOIL MAX MEYER MIAMI MARLINS,18.99,Gold 50,Max Meyer
foulpolecards,2025 Topps Update Series #US99 Max Meyer – Holofoil,1.73,,Max Meyer
oscfr338,2025 Topps Update Series - Max Meyer #US99 Diamante Foil Miami Marlins,2.15,Diamante,Max Meyer
garygunner,2025 Topps Update Holo Foil #US99 Max Meyer,2.25,,Max Meyer
mrbupster,MAX MEYER 2025 Topps Update Black Border /10 #US99 Marlins,16.24,Black 10,Max Meyer
dw_2005,2025 Topps Update - Max Meyer #US99 Topps Foil Pattern,2.46,,Max Meyer
rockybluecards,2025 Topps Update Series #US99 Max Meyer – Holofoil,1.79,,Max Meyer
911-cards,2025 Topps Update Series - Max Meyer #US99 Blue Rainbow Foil /150,9.5,Blue Rainbow,Max Meyer
caughtupintheskycards,2025 Topps Update Max Meyer Gold #1001/2025 Marlins,5.75,Gold 2025,Max Meyer
donel3,2025 Topps Update Baseball Max Meyer #US99 Orange Foil SSP /25 Marlins,12.98,"Orange 25, SSP",Max Meyer
handkcollectibles,2025 Topps Update Series - Max Meyer #US99,1.39,,Max Meyer
99sportscards,2025 Topps Update #US99 Max Meyer Holiday,1.99,,Max Meyer
no_d_sports,2025 Topps Update #US99 Max Meyer Holiday,3.49,,Max Meyer
kosportsandcards,2025 Topps Update MAX MEYER PURPLE Foil Parallel 064/250 Marlins,4.25,Purple Rainbow,Max Meyer
csd_sports_cards,2025 Topps Update Series Baseball - Max Meyer #US99 PURPLE Foil /250,4.0,Purple Rainbow,Max Meyer
cubbie_1908,"2025 Topps Update US99 Max Meyer, Miami Marlins",2.5,,Max Meyer
jaretl,2025 Topps Update Gold #/2025- Max Meyer RC,4.99,Gold 2025,Max Meyer
rack_pack_cards,Max Meyer 2025 Topps Update Gold Marlins 0873/2025,5.0,Gold 2025,Max Meyer
jemclau5287,2025 Topps Update Max Meyer #US99 Marlins,1.89,,Max Meyer
ricbilde_0,2025 Topps Update Series Max Meyer Holo Foil Parallel #US99 Miami Marlins,1.79,,Max Meyer
bao1108,2025 Topps Update Baseball MLB Texas Rangers Jake Burger Green Foil /99,15.0,Green Foil,Jake Burger
chattanoogapickers,"2025 Topps Update Series Baseball US98 Jake Burger, Texas Rangers",1.79,,Jake Burger
mrscrapstradingcards,2025 Topps Update #US98 Jake Burger FOIL,2.99,,Jake Burger
kingcyrussportscards,2025 Topps Update Series - Jake Burger #US98 Rainbow Foil BS12,2.25,Base Rainbow,Jake Burger
shooterscardsplus,2025 Topps Update Series - Jake Burger #US98,1.72,,Jake Burger
1gssportscardsllc,2025 Topps Update Teal Sand Glitter Foil #US98 Jake Burger Texas Rangers Card,2.99,Sandglitter,Jake Burger
peanutz.cardz,2025 Topps Update #US98 Jake Burger Rainbow Foil BB6,1.78,Base Rainbow,Jake Burger
muck1201,2025 Topps Update Series - Jake Burger #US98 Rangers,1.74,,Jake Burger
kj822,2025 Topps Update Jake Burger Diamante Foil #US98,1.74,Diamante,Jake Burger
petaj43512,2025 Topps Update JAKE BURGER Green Foil #06/99 TEXAS RANGERS US98,12.95,Green Foil,Jake Burger
x2jzka,2025 Topps Update - Jake Burger #US98 - Gold /2025,2.5,Gold 2025,Jake Burger
justjoshinya9,2025 Topps Update True Photo Variation SSP Jake Burger #US98,65.0,"Photo Variation, SSP",Jake Burger
todd44todd,2025 Topps Update Jake Burger Rainbow Foil  Rangers,2.64,Base Rainbow,Jake Burger
sandlcollectibles,"2025 Topps Update- Jake Burger, Orange Foil Holiday, Rangers",1.56,Orange Black,Jake Burger
northstarcc,2025 Topps Update #US98 Jake Burger RayWave,1.95,,Jake Burger
arthurscardsandcollectibles,2025 Topps Update #US98 Jake Burger Green Holo Foil #/99,11.99,Green Foil,Jake Burger
